Country,State,Year,New Lives Covered Under Aam Aadmi Bima Yojana (Aaby) (UOM:Number),"Claims Setteled Under Aam Aadmi Bima Yojana (Aaby) Claims Settled Includes Death, Accident And Disability Claims (UOM:Number)","Amount Of Claims Setteled Under Aam Aadmi Bima Yojana (Aaby) , Claims Settled Includes Death, Accident And Disability Claims (UOM:INR(IndianRupees))",Scholarships Paid Under Aam Aadmi Bima Yojana (Aaby) (UOM:Number),Amount Of Scholarships Paid Under Aam Aadmi Bima Yojana (Aaby) (UOM:INR(IndianRupees))
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2014",1675,0,0,0,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2015",2,0,0,0,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2013",1260399.22081460660973210588,28796.42399340928258451568,941195.772792646489879803350,1150156.53582322848607119714,62131895.45564780044552590920
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2014",5199301.96932492119340507864,21438.47108693503726039450,701542.094361908025511111750,624686.27454828181585795258,222250786.31350998348104747280
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2015",175498.28437996023611921248,13841.95474280166520585690,448802.88899254259629430868,43462.50697539702194999294,33354626.87536554553066627000
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2013",516.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2014",12469,0,0,0,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2015",15073,0,0,0,0
India,Assam,"Calendar Year (Jan - Dec), 2013",99888.00000000000000000000,404.00000000000000000000,22245.00000000000000000000,483.00000000000000000000,199291.00000000000000000000
India,Assam,"Calendar Year (Jan - Dec), 2014",182486,310,18937,3581,2148600
India,Assam,"Calendar Year (Jan - Dec), 2015",234847,171,10216,1387,635400
India,Bihar,"Calendar Year (Jan - Dec), 2013",190762.00000000000000000000,1048.00000000000000000000,32160.00000000000000000000,16392.00000000000000000000,2279763.00000000000000000000
