Country,State,Year,Ministry Or Department Name,Direct Benefit Transfer (Dbt) Scheme Name,Direct Benefit Transfer (Dbt) Scheme Benefit Type,Direct Benefit Transfer (Dbt) Fund Transferred (UOM:INR(IndianRupees))
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Department of Higher Education,Central Sector Scheme of Scholarship for College and University Students,Cash,121740000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Minority Affairs,Merit-cum- Means based Scholarship for professional and Technical course for minorities,Cash,117676203
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018","Department of Agriculture, Cooperation and Farmers Welfare",Sub Mission On Agriculture Mechanization-Central Sector,Cash and In Kind,769869
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",Department of Youth Affairs,Assistance to Scouting and Guiding Organizations,In Kind,3451024
India,Assam,"Financial Year (Apr - Mar), 2017",Ministry of External Affairs,Outgoing Cultural Programmes,Cash,32351
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (AB-PMJAY),In Kind,1051422
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Ministry of Housing and Urban Affairs,Credit Link Subsidy Scheme (CLSS),Cash,6446901
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018","Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,Cash,10162869
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2017",Department of Rural Development,Mahatma Gandhi NREGA,Cash,126115879
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,CREDIT LINK SUBSIDY SCHEME (CLSS),Cash,1454891795
India,Assam,"Financial Year (Apr - Mar), 2017",Ministry of Labour and Employment,Scholarship To The Children of Beedi Workers,Cash,131970
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2018",Ministry of Petroleum and Natural Gas,PAHAL,Cash,169670000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Department of Higher Education,Prime Minster's Special Scholarship Scheme For Jammu And Kashmir Students,Cash,759234
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2018",Ministry of Minority Affairs,Merit-cum- Means based Scholarship for professional and Technical course for minorities,Cash,30000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2018",Ministry of Housing and Urban Affairs,STATE AND UT GRANTS UNDER PMAY URBAN,Cash and In Kind,3820000
India,Assam,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Indira Gandhi National Widow Pension Scheme-IGNWPS,Cash,544300800
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Mahatma Gandhi NREGA,Cash,690325554
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,NIKSHAY - Tribal TB Patients,Cash,1311750
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,NIKSHAY - DOT Provider Honorarium,Cash,3286735
India,Assam,"Financial Year (Apr - Mar), 2018",Department of Rural Development,Indira Gandhi National Old Age Pension Scheme- IGNOAPS,Cash,3266921150
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2018",Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,Cash,6233000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2017",Department of Social Justice and Empowerment,Centrally Sponsored Scheme Of Post Matric Scholarships To The Students Belonging To Scheduled Castes For Studies In India,Cash,677700000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Department of Financial Services,Atal Pension Yojana,Cash,496916
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",Ministry of Petroleum and Natural Gas,PAHAL,Cash,8974320000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Health and Family Welfare,NIKSHAY - TB patient incentive for nutritional support,Cash and In Kind,8937500
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Department of Higher Education,P.G. Scholarship for GATE/GPAT qualified students for pursuing M.Tech/ M.E./M.Pharma- UGC,Cash,160434416
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",Department of Higher Education,Saksham scholarship for differently abled students of Diploma Institutes,Cash,120000
India,Assam,"Financial Year (Apr - Mar), 2017",Department of Health and Family Welfare,Janani Suraksha Yojana,Cash,143983900
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,NIKSHAY - TB patient incentive for nutritional support,Cash and In Kind,1222500
India,Assam,"Financial Year (Apr - Mar), 2018",Department of Health and Family Welfare,Payments to contractual staff,Cash,895243527
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2017",Ministry of Minority Affairs,Post-Matric Scholarship for Minorities,Cash,396700
India,Assam,"Financial Year (Apr - Mar), 2018",Department of Higher Education,P.G. Scholarship For GATE/GPAT Qualified Students For Pursuing M.Tech/ M.E./M.Pharma - AICTE,Cash,29716987
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",Department of Rural Development ,Mahatma Gandhi NREGA,Cash,710513491
