Country,Year,Type Of Organisation ,Number Of Factories (UOM:Number),Fixed Capital (UOM:INR(IndianRupees)),Productive Capital (UOM:INR(IndianRupees)),Invested Capital (UOM:INR(IndianRupees)),Number Of Workers (UOM:Number),Number Of Total Persons Engaged (UOM:Number),Wages To Workers (UOM:INR(IndianRupees)),Total Emoluments (UOM:INR(IndianRupees)),Total Input (UOM:INR(IndianRupees)),Total Output (UOM:INR(IndianRupees)),Depreciation (UOM:INR(IndianRupees)),Net Value Added (UOM:INR(IndianRupees)),Rent Paid (UOM:INR(IndianRupees)),Interest Paid (UOM:INR(IndianRupees))
India,"Financial Year (Apr - Mar), 2008",Co-operative Society,1414,1370525,1476928,2898057,166907,229083,118083,238005,4795898,5428322,115036,517389,8511,213609
India,"Financial Year (Apr - Mar), 2008",Corporate  Sector,58088,98289169,124728587,138896619,5968917,7887150,4771469,10934075,227572503,282355191,7563335,47219354,862814,5884637
India,"Financial Year (Apr - Mar), 2008",Govt Dept. Enterprises,306,1106837,1303293,1282047,23210,32652,31640,61690,874919,1173484,46066,252499,2829,45922
India,"Financial Year (Apr - Mar), 2008",Handloom Industry,14,7542,8174,10309,1274,1707,964,2384,8003,13559,565,4991,70,376
India,"Financial Year (Apr - Mar), 2008",Individual Proprietorship,42868,1414080,2403946,2704124,933873,1119560,336815,492207,7631665,9067045,161398,1273981,27422,178508
India,"Financial Year (Apr - Mar), 2008",Joint Family (HUF),1575,73564,151031,142687,36925,45769,13476,22389,414565,478855,8599,55691,1191,9504
India,"Financial Year (Apr - Mar), 2008",Khadi & Village Industry,108,4672,5779,12588,4462,5400,1652,2470,31219,35988,389,4379,82,376
India,"Financial Year (Apr - Mar), 2008",Others (Incl NR),2029,1229799,1810043,2091696,86934,109427,89156,172394,4495931,5264059,85653,682475,8855,66651
India,"Financial Year (Apr - Mar), 2008",Partnership,49225,3207263,6135425,6761692,1577453,1929388,645567,1080200,21198853,24636767,419614,3018300,66832,514388
India,"Financial Year (Apr - Mar), 2008",Private limited company,42205,22035826,30852454,34243878,2787386,3720423,1668672,3898284,66742154,81331624,1949098,12640372,371510,1856075
India,"Financial Year (Apr - Mar), 2008",Public  limited company,15230,71157571,88124922,97953294,3044623,3980313,2796290,6424278,145851386,180305807,5324142,29130280,474186,3794590
India,"Financial Year (Apr - Mar), 2008",Public Corporation,347,3988935,4447918,5417400,113698,153762,274867,549823,14104044,19544276,244029,5196203,14289,188050
India,"Financial Year (Apr - Mar), 2008",TOTAL,155321,105596614,136719912,153517773,8776745,11327485,5977184,12944123,266148638,327279786,8354590,52776558,975778,6868048
India,"Financial Year (Apr - Mar), 2009",Co-operative Society,1946,1770991,2058472,3685038,202362,276989,163196,345081,6228832,7000369,136340,635197,13139,268502
India,"Financial Year (Apr - Mar), 2009",Corporate  Sector,59277,127634773,161352938,177715522,6320764,8318688,5587224,12471462,263460309,326302336,9690881,53151145,1071939,6315601
India,"Financial Year (Apr - Mar), 2009",Govt Dept. Enterprises,500,1878141,2127436,2140052,34571,45708,44267,91922,887671,1357561,148003,321887,3357,43450
India,"Financial Year (Apr - Mar), 2009",Handloom Industry,51,8409,8677,9256,1839,2320,1395,2319,5957,9903,1650,2296,8,369
India,"Financial Year (Apr - Mar), 2009",Individual Proprietorship,45437,1766253,2823826,3298901,956633,1156746,387866,581708,9288857,10968748,204111,1475780,38850,209485
India,"Financial Year (Apr - Mar), 2009",Joint Family (HUF),1713,112071,180596,202012,38929,49097,16625,28914,399673,489352,12750,76929,1146,12442
India,"Financial Year (Apr - Mar), 2009",Khadi & Village Industry,151,8354,15746,16426,3129,4107,1130,1865,16264,19294,443,2587,140,357
