Country,State,Year,Month,Name Of The Fertilizer Used,Required Fertilizer Quantity (UOM:MT(Metrictonne)),Available Fertilizer Quantity (UOM:MT(Metrictonne))
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","December, 2014",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","August, 2014",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","March, 2015",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","November, 2012",Muriate of Potash (MOP) or Potassium Chloride,42297.403,13669.731
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","April, 2012",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","May, 2012",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","October, 2014",Monoammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","November, 2012",UREA,225586.147,21067.265
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","April, 2012",Muriate of Potash (MOP) or Potassium Chloride,28198.268,25828.915
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","December, 2013","nitrogen, phosphorus, and potassium",45.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","October, 2014","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","January, 2016",Triple superphosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","July, 2013",Muriate of Potash (MOP) or Potassium Chloride,16918.961,11955.158
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","October, 2012",Diammonium Phosphate,112.793,14386.757
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","October, 2012",Monoammonium Phosphate,0.000,12.999
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","August, 2012",Diammonium Phosphate,80.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","December, 2015",Single super Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","September, 2014",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","April, 2012",Monoammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","April, 2013",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","February, 2016",Single super Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","October, 2012",Muriate of Potash (MOP) or Potassium Chloride,31018.095,9293.839
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","June, 2014","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","August, 2012",Muriate of Potash (MOP) or Potassium Chloride,14.099,23748.835
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","February, 2016",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","January, 2015",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","April, 2014","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","September, 2013",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","May, 2012",Diammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","December, 2013",Triple superphosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","September, 2015",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","January, 2015",Diammonium Phosphate,500.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2012","November, 2012",Muriate of Potash (MOP) or Potassium Chloride,70.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","August, 2015",Monoammonium Phosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","July, 2012",Triple superphosphate,0.000,1007.129
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","May, 2013",UREA,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","January, 2016",Monoammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","August, 2015","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2014","July, 2014","nitrogen, phosphorus, and potassium",0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","November, 2015",Single super Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015","December, 2015",Diammonium Phosphate,0.000,0.000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2013","August, 2013",Muriate of Potash (MOP) or Potassium Chloride,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2013","February, 2014",Triple superphosphate,0.000,0.000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2012","June, 2012","nitrogen, phosphorus, and potassium",42297.403,78915.420
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2016","February, 2017",Diammonium Phosphate,0.000,0.000
